data: {name: chararray,ID: int,buy1: float,buy2: float,buy3: float,buy4: float,buy5: float,buy6: float,buy7: float,buy8: float,buy9: float,buy10: float,text1: chararray,text2: chararray,text3: chararray,text4hararray: bytearray,text5chararray: bytearray}
********************************************** data  ***********************************
(ZXTUR1,712361,9518.0,8650.0,5757.0,3367.0,3897.0,8283.0,9531.0,2003.0,3692.0,2520.0,ZHOAC KZOV D the LHQY PTSJ,OHURR KFAF VOQFI GJEU,BEZOT WLAA C and  IZZX GANP,RIWHR SXIX JQVYK HVUZ,DXGMW UANP the ZPCCP AH and FO)
(JDDZ2,644582,5908.0,4842.0,1638.0,9466.0,6909.0,161.0,4519.0,7346.0,7549.0,7087.0,PIFWW RZVU HDWFE PXKT,NWWQU FOTM BLYQR FCAT,HAQEW DSQV ZKZJM KNBU,XLUED SMWQ FXGAG AALN,UGPXM PLVJ and LUYZU EW the L and S)
(GTZUG3,400213,9997.0,6417.0,9604.0,2974.0,6698.0,2427.0,1720.0,3106.0,685.0,8409.0,EDQVF KKME RTAUO ZK the LJ,PGEKP QLAV VUEQR FIFJ,FYOBR OZHT EAYUT WE and  UZ,EXDGD RIVN OMXKW LSGB,ZUNAZ QHSU the XEROA XQ and GU)
(EKJS4,223074,8242.0,7382.0,7621.0,8799.0,8363.0,5429.0,1501.0,7016.0,2542.0,3823.0,KOCYX YWFX E the UHHO RBBE,XXGRA IZKO YJTNY NENW,SYYLL QXWS F and XZCN RUPV,UOWXI TODX LWVSZ FQID,WBCBH XSBT and ISDJM NG the H and M)
(LFJNC5,990525,5128.0,9596.0,1649.0,9418.0,6666.0,3962.0,7372.0,9797.0,1396.0,8803.0,FMODD WVWW OEPKR NPGC,UZPTD NORD YQDKB HJNA,KKXZJ CXPO OMZMV FWNC,TFVWZ BHMH BGRYD YEQV,ICJUZ ZLAE the SNOIK XD and QB)
(GEXV6,309846,1843.0,47.0,9101.0,2476.0,9746.0,6741.0,3746.0,558.0,2104.0,9673.0,EILBZ FLVP the GWQLA PA the QP,MYIPM YZOW RXVFI WUXW,AWDCN UDHA and PIHAP UZ and JS,MCMOC NWZT CSEQE SGJE,MLZJD UKFR and KSPET VD the V and T)
(BSQZX7,450047,7998.0,5231.0,7092.0,4159.0,5013.0,5705.0,6475.0,2498.0,7224.0,7275.0,ZDIOC LECB J the THDE VQLK,GBIHF WZKW CTVHN CGLT,SPJYS CYAJ C and  GGJR VXWI,IWILO PKOT RJAEQ QDOP,YNPZO ZMAP the NOOQI OD and HB)
(NBSX8,980048,7257.0,8497.0,4101.0,8251.0,9112.0,5592.0,8336.0,6659.0,1207.0,8853.0,NGAPN TJEG PLYEJ NDQN,UDBOG KGUR MYULD SQYT,LWXJV DKSV JNOJS WEGV,VWAJE DHYF GMIZC BREY,YONSG SLUR and DSWGG SI the P and J)
(THYQA9,300219,9088.0,1152.0,2742.0,8885.0,3265.0,5086.0,4640.0,419.0,4705.0,3259.0,VTQQR QOMV DECIV CP the VX,SLVEG RGRR VXBFM BZXG,SPAGO NTTV MCBQM FQ and  FU,LJGLH QTCM VYOSR JXBW,PDSOH YJBI the WOVIT JP and VU)
(QOQL10,4999110,1309.0,2385.0,7130.0,2500.0,4224.0,1099.0,3995.0,7416.0,6891.0,3840.0,UOSLN DYCX B the AYAW EMAZ,NYXYO FYVD XISBT SQGQ,TYRVN VZTM N and HOMJ PFQJ,TPXAV BCUZ AUIBO NDGG,BAINM BEHH and BCYLK PU the Y and N)
(PCRIF11,1980011,9796.0,2954.0,4987.0,6628.0,8530.0,627.0,6016.0,793.0,4469.0,8695.0,WHLZV DBPW JETAU AQXW,UEYZP DFIK OZYBT HNUN,HFFBS KBRW USCZK YBSG,DGBIK AEKE RCPWS GIJY,CHYMM DVYX the WJLLE KA and OL)
(IVPF12,3663812,4272.0,3677.0,3199.0,1308.0,2815.0,9429.0,7584.0,6021.0,3234.0,1440.0,ZQHEC SIEM the QWCDJ AD the OE,PVOJS UIQQ VAVXA GZGG,HSTEK TPSU and OKWVQ OZ and MO,LINSO ZLEW GFQAW VOQK,FQLVO JOKV and ETMQL MH the S and V)
(DLCUS13,4747313,3962.0,4966.0,7335.0,9651.0,5.0,2017.0,8575.0,5571.0,6500.0,3439.0,LPBTF OJCO O the PTRV XMHC,EKYAL GKQC XHHDY PZYR,UHLAJ TONX B and  SBWH NDZX,EFSXD EOFR TYUPS UOFH,NLPCS GGBC the HYMJL NB and QJ)
(ETZB14,6646314,3439.0,4706.0,165.0,5435.0,5413.0,9467.0,1040.0,2515.0,4295.0,2654.0,YOARW GABY JQWDA HLDW,MFLSV WBOC NIJXO CLQN,PGFZA PHOC BZIHB DUNX,YJUTD VEIG XYHED MMHF,WIZKO HJYY and HAUUN JB the H and K)
(MKJUK15,3512315,9255.0,4108.0,4253.0,6547.0,7359.0,8724.0,916.0,4907.0,2312.0,469.0,WFYQL ZEAB BXQMX OT the EV,UJYVO GYTK VFUYQ UBUP,IVNEB TOCC LVKEV EZ and  VA,KDJBC PBVI CWIAE CYNI,STMSM JDSA the ZWQJV CY and GQ)
(NDTQ16,6310416,8366.0,2893.0,3941.0,3528.0,7657.0,8456.0,9000.0,8480.0,3806.0,688.0,QZKZI UQMZ P the UXDP HVOD,TIWUA AGLK IZMXB CHKG,KLETN KIFM X and PCAS ZTFH,LUZJV WLQI BTAZH DZBM,KZIQH TBVQ and UKLQJ EO the I and A)
(ZEAXH17,1476817,4437.0,8404.0,9846.0,4481.0,7401.0,6551.0,7609.0,8081.0,2616.0,7627.0,RNGQJ SZPB RGJFI NXRC,PSUSX ZYVE LILTY HRWN,RZMIP DIHJ DPRAI UOFL,JTRAP SAGH MBXXZ YUHB,OJEJE YWBD the NCQAJ WT and SI)
(SMXF18,8619018,2853.0,3172.0,1424.0,9692.0,6735.0,8914.0,1848.0,5884.0,2789.0,4014.0,JWXMZ ETGP the GXPVJ KU the PH,XVQSR GAAG MKSBI AJPH,UCMQW SKSV and HHSEL DX and PY,EBDSC BKUT QUXZI NAJE,MOWSQ IMXI and HQIES FB the L and X)
(WBJBF19,1088419,5553.0,3126.0,2314.0,762.0,3712.0,2627.0,3534.0,9886.0,8281.0,8695.0,UVKLT KZRO I the QCQX JXAP,MDKAX ZTGM VDZVZ PMCF,PAEDT SHVS B and  KQQZ HFPO,EIXOQ YGUU XXSXG XCMF,BOELU RNOO the AJVRH BQ and DR)
