data: {name: chararray,ID: int,buy1: float,buy2: float,buy3: float,buy4: float,buy5: float,buy6: float,buy7: float,buy8: float,buy9: float,buy10: float,text1: chararray,text2: chararray,text3: chararray,text4: chararray,text5: chararray}
********************************************** data  ***********************************
data1: {name: chararray,ID: int,S: long,L: chararray,C: chararray}
********************************************** data1  ***********************************
data2: {name: chararray,ID: int,S: long,L: chararray,C1: chararray,C2: chararray}
********************************************** data2  ***********************************
(ZXTUR1,712361,125,ohurr kfaf voqfi gjeu,ZHOAC KZOV D the LHQY PTSJOHURR KFAF VOQFI GJEUBEZOT WLAA C   IZZX GANPRIWHR SXIX JQVYK HVUZDXGMW UANP the ZPCCP AH  FO,ZHOAC KZOV D  LHQY PTSJOHURR KFAF VOQFI GJEUBEZOT WLAA C and  IZZX GANPRIWHR SXIX JQVYK HVUZDXGMW UANP  ZPCCP AH and FO)
(JDDZ2,644582,119,nwwqu fotm blyqr fcat,PIFWW RZVU HDWFE PXKTNWWQU FOTM BLYQR FCATHAQEW DSQV ZKZJM KNBUXLUED SMWQ FXGAG AALNUGPXM PLVJ  LUYZU EW the L  S,PIFWW RZVU HDWFE PXKTNWWQU FOTM BLYQR FCATHAQEW DSQV ZKZJM KNBUXLUED SMWQ FXGAG AALNUGPXM PLVJ and LUYZU EW  L and S)
(GTZUG3,400213,125,pgekp qlav vueqr fifj,EDQVF KKME RTAUO ZK the LJPGEKP QLAV VUEQR FIFJFYOBR OZHT EAYUT WE   UZEXDGD RIVN OMXKW LSGBZUNAZ QHSU the XEROA XQ  GU,EDQVF KKME RTAUO ZK  LJPGEKP QLAV VUEQR FIFJFYOBR OZHT EAYUT WE and  UZEXDGD RIVN OMXKW LSGBZUNAZ QHSU  XEROA XQ and GU)
(EKJS4,223074,129,xxgra izko yjtny nenw,KOCYX YWFX E the UHHO RBBEXXGRA IZKO YJTNY NENWSYYLL QXWS F  XZCN RUPVUOWXI TODX LWVSZ FQIDWBCBH XSBT  ISDJM NG the H  M,KOCYX YWFX E  UHHO RBBEXXGRA IZKO YJTNY NENWSYYLL QXWS F and XZCN RUPVUOWXI TODX LWVSZ FQIDWBCBH XSBT and ISDJM NG  H and M)
(LFJNC5,990525,114,uzptd nord yqdkb hjna,FMODD WVWW OEPKR NPGCUZPTD NORD YQDKB HJNAKKXZJ CXPO OMZMV FWNCTFVWZ BHMH BGRYD YEQVICJUZ ZLAE the SNOIK XD  QB,FMODD WVWW OEPKR NPGCUZPTD NORD YQDKB HJNAKKXZJ CXPO OMZMV FWNCTFVWZ BHMH BGRYD YEQVICJUZ ZLAE  SNOIK XD and QB)
(GEXV6,309846,137,myipm yzow rxvfi wuxw,EILBZ FLVP the GWQLA PA the QPMYIPM YZOW RXVFI WUXWAWDCN UDHA  PIHAP UZ  JSMCMOC NWZT CSEQE SGJEMLZJD UKFR  KSPET VD the V  T,EILBZ FLVP  GWQLA PA  QPMYIPM YZOW RXVFI WUXWAWDCN UDHA and PIHAP UZ and JSMCMOC NWZT CSEQE SGJEMLZJD UKFR and KSPET VD  V and T)
(BSQZX7,450047,125,gbihf wzkw ctvhn cglt,ZDIOC LECB J the THDE VQLKGBIHF WZKW CTVHN CGLTSPJYS CYAJ C   GGJR VXWIIWILO PKOT RJAEQ QDOPYNPZO ZMAP the NOOQI OD  HB,ZDIOC LECB J  THDE VQLKGBIHF WZKW CTVHN CGLTSPJYS CYAJ C and  GGJR VXWIIWILO PKOT RJAEQ QDOPYNPZO ZMAP  NOOQI OD and HB)
(NBSX8,980048,119,udbog kgur myuld sqyt,NGAPN TJEG PLYEJ NDQNUDBOG KGUR MYULD SQYTLWXJV DKSV JNOJS WEGVVWAJE DHYF GMIZC BREYYONSG SLUR  DSWGG SI the P  J,NGAPN TJEG PLYEJ NDQNUDBOG KGUR MYULD SQYTLWXJV DKSV JNOJS WEGVVWAJE DHYF GMIZC BREYYONSG SLUR and DSWGG SI  P and J)
(THYQA9,300219,125,slveg rgrr vxbfm bzxg,VTQQR QOMV DECIV CP the VXSLVEG RGRR VXBFM BZXGSPAGO NTTV MCBQM FQ   FULJGLH QTCM VYOSR JXBWPDSOH YJBI the WOVIT JP  VU,VTQQR QOMV DECIV CP  VXSLVEG RGRR VXBFM BZXGSPAGO NTTV MCBQM FQ and  FULJGLH QTCM VYOSR JXBWPDSOH YJBI  WOVIT JP and VU)
